CD;Año;Semana;Tienda;Apertura;CD;Cierre;Estado;Estatus;MismasTiendas;Region;Zona;Ventas Actuales;Ventas Año Anterior;Variacion Venta;% Margen;% Margen Año Anterior;Costo de Ventas;Piezas de Venta;Piezas Venta Año Anterior;Utilidad Tienda;Inventario pesos;Inventario Año Anterior pesos;Inventario pzas;Inventario Año Anterior pzas;Inventario CD pesos;Inventario CD Año Anterior pesos;Inventario CD pzas;Inventario CD Año Anterior pzas;Inventario Tienda IT pesos;Inventario Tienda IT Año Anterior pesos;Inventario Tienda IT pzas;Inventario Tienda IT Año Anterior pzas;Inventario On Hand pesos;Inventario OH Año Anterior pesos;Inventario On Hand Pzas;Inventario OH Año Anterior pzas
7021;2024;Sem-20;4028 - Cinco Y Diez (BCN);20060826;7021;20400101;BCN;Activo;Mismas Tiendas;R69 Tijuana Oriente;D01 BC NORTE;$15.718;$19.718;($4.000);49,74%;51,45%;$6.800;466;628;$ 7.817,85;$322.949;$303.480;22.802;22.177;;;;;$4.992;$0;319;;$317.957;$303.480;22.483;22.177
7021;2024;Sem-20;4029 - Palaco (BCN);20061029;7021;20400101;BCN;Activo;Mismas Tiendas;R04 Mexicali Centro;D01 BC NORTE;$15.009;$22.879;($7.869);51,73%;49,01%;$6.194;453;683;$ 7.764,94;$269.341;$270.347;19.346;20.098;;;;;$0;$20.166;;2.102;$269.341;$250.181;19.346;17.996
7021;2024;Sem-20;4030 - Macroplaza (BCN);20061029;7021;20400101;BCN;Activo;Mismas Tiendas;R46 Tijuana Otay;D01 BC NORTE;$18.908;$45.331;($26.423);50,02%;51,75%;$8.127;608;1.345;$ 9.458,31;$347.883;$377.019;25.386;26.956;;;;;$17.111;$1.941;1.160;90;$330.772;$375.077;24.226;26.866
7021;2024;Sem-20;4031 - Santa Fe Tijuana (BCN);20070531;7021;20400101;BCN;Activo;Mismas Tiendas;R02 Tijuana Centro;D01 BC NORTE;$17.765;$18.889;($1.124);53,35%;52,84%;$7.043;614;518;$ 9.478,68;$250.921;$246.989;18.521;18.735;;;;;$111;$21.192;12;2.198;$250.810;$225.797;18.509;16.537
7021;2024;Sem-20;4032 - Soler (BCN);20071020;7021;20400101;BCN;Activo;Mismas Tiendas;R02 Tijuana Centro;D01 BC NORTE;$25.232;$19.891;$5.342;50,85%;49,32%;$10.635;808;552;$ 12.830,84;$286.593;$283.683;20.194;20.159;;;;;$0;$8.737;;574;$286.593;$274.947;20.194;19.585
7021;2024;Sem-20;4033 - Loma Bonita (BCN);20071116;7021;20400101;BCN;Activo;Mismas Tiendas;R02 Tijuana Centro;D01 BC NORTE;$26.362;$25.372;$990;50,65%;49,71%;$11.164;866;810;$ 13.352,39;$290.721;$269.346;20.702;19.527;;;;;$6.282;$0;396;;$284.439;$269.346;20.306;19.527
7021;2024;Sem-20;4034 - Oasis Tijuana (BCN);20080105;7021;20400101;BCN;Activo;Mismas Tiendas;R01 Tijuana Este;D01 BC NORTE;$14.757;$18.747;($3.991);49,15%;49,30%;$6.471;493;615;$ 7.252,69;$311.722;$296.195;21.982;21.823;;;;;$3.051;$647;252;30;$308.671;$295.548;21.730;21.793
7021;2024;Sem-20;4040 - Galerias Valle (BCN);20080630;7021;20400101;BCN;Activo;Mismas Tiendas;R04 Mexicali Centro;D01 BC NORTE;$17.932;$15.693;$2.239;50,77%;48,56%;$7.573;577;463;$ 9.103,91;$266.947;$277.808;19.330;20.702;;;;;$3.386;$0;266;;$263.561;$277.808;19.064;20.702
7021;2024;Sem-20;4041 - Pabellon (BCN);20080709;7021;20400101;BCN;Activo;Mismas Tiendas;R03 Tijuana Costa;D01 BC NORTE;$17.897;$20.739;($2.843);50,44%;49,47%;$7.617;583;638;$ 9.026,53;$274.803;$284.167;19.365;20.549;;;;;$6.983;$6.059;516;530;$267.820;$278.108;18.849;20.019
7021;2024;Sem-20;4042 - Penasco (SON);20080922;7021;20400101;SON;Activo;Mismas Tiendas;R55 Frontera Sonora;D02 BC SUR / PACIFICO;$24.166;$29.858;($5.691);50,20%;49,84%;$10.343;784;949;$ 12.131,52;$279.904;$295.370;19.471;21.075;;;;;$4.148;$0;250;;$275.756;$295.370;19.221;21.075
